  Companies Amendment Act, 1963: 1

  Companies Amendment Act, 1965: 1

  Companies Amendment Act, 2001: 1

  Companies Act, 2013: 1

  Constitution FortyFourth Amendment Act, 1978: 1

  Constitution Fourteenth Amendment Act, 1962: 1

  Constitution Fourth Amendment Act, 1955: 1

  Constitution Nineteenth Amendment Act, 1966: 1

  Constitution SeventyThird Amendment Act, 1992: 1

  Constitution SixtyFifth Amendment Act, 1990: 1

  Constitution Tenth Amendment Act, 1961: 1

  Constitution ThirtyFifth Amendment Act, 1974: 1

  Constitution Twelfth Amendment Act, 1962: 1

  Constitution Twentieth Amendment Act, 1966: 1

  Constitution Twentieth Amendment Act, 1966: 1

  Constitution TwentySixth Amendment Act, 1971: 1

  Consumer Protection Amendment Act, 2002: 1

  Contract Labour Regulation and Abolition Amendment Act, 1986: 1

  Copra Cess Act, 1979: 1

  Copyright Amendment Act, 1983: 1

  Copyright Amendment Act, 1984: 1

  Copyright Amendment Act, 1994: 1

  Cotton Transport Act, 1923: 1

  Cotton, Copra and Vegetable Oils Cess Abolition Act, 1987: 1

  Criminal Law Amendment Act, 1983: 1

  Criminal Law Amendment Act, 2005: 1

  Criminal Law Amendment Act, 2013: 1

  Criminal Law Amendment Act, 1932: 1

  Criminal Law Amendment Act, 1961: 1

  Customs Tariff Second Amendment Act, 1982: 1

  Customs and Excise Revenues Appellate Tribunal Act, 1986: 1

  Damodar Valley Corporation Act, 1948: 1

  Defence of India Act, 1971: 1

  Delhi Agricultural Produce Marketing Regulation Act, 1998: 1

  Delhi CoOperative Societies Act, 1972: 1

  Delhi Land Revenue Act, 1954: 1

  Delhi Land Revenue Act, 1954: 1

  Delhi Municipal Corporation Amendment Act, 1984: 1

  Delhi Public Gambling Act, 1955: 1

  Delhi Sales Tax on Right to Use Goods Act, 2002: 1

  Delhi Sikh Gurdwaras Act, 1971: 1

  Delhi Urban Art Commission Act, 1973: 1

  Delhi Value Added Tax Amendment Act, 2006: 1

  Delhi Value Added Tax Act, 2004: 1

  Delimitation Act, 1972: 1

  Depositories Act, 1996: 1

  Direct Tax Laws Amendment Act, 1989: 1

  Direct Taxes Amendment Act, 1964: 1

  Disaster Management Act, 2005: 1

  Displaced Persons Claims Supplementary Act, 1954: 1

  Displaced Persons Debts Adjustment Act, 1951: 1

  Dissolution of Muslim Marriages Act, 1939: 1

  Dowry Prohibition Amendment Act, 1984: 1

  Drugs Amendment Act, 1955: 1

  Drugs Control Act, 1950: 1

  Drugs and Magic Remedies Objectionable Advertisement Act, 1954: 1

  East Punjab Refugees Registration of Claims Act, 1948: 1

  East Punjab Urban Rent Restriction Amendment Act, 1966: 1

  Election Laws Amendment Act, 2003: 1

  Electricity Supply Karnataka Amendment Act, 1981: 1

  Electricity Supply Amendment Act, 1966: 1

  Electricity Supply Amendment Act, 1976: 1

  Electricity Supply Amendment Act, 1976: 1

  Electricity Supply Amendment Act, 1978: 1

  Electricity Supply Kerala Amendment Act, 1983: 1

  Employees Provident Funds and Miscellaneous Provisions Act, 1952: 1

  Enemy Property Act, 1968: 1

  Enforcement of Security Interest and Recovery of Debts Laws Amendment Act, 2004: 1

  Estate Duty Amendment Act, 1958: 1

  Expenditure Tax Act, 1987: 1

  Factories Amendment Act, 1987: 1

  Family Courts Amendment Act, 1991: 1

  Faridabad Complex Regulation and Development Act, 1971: 1

  Faridabad Development Corporation Act, 1956: 1

  Finance No 2 Act, 1996: 1

  Finance No2 Act, 1971: 1

  Finance No2 Act, 1977: 1

  Finance No2 Act, 1980: 1

  Finance No2 Act, 1998: 1

  Finance Act, 1958: 1

  Finance Act, 1963: 1

  Finance Act, 1964: 1

  Finance Act, 1977: 1

  Finance Act, 1984: 1

  Finance Act, 1985: 1

  Finance Act, 1989: 1

  Finance Act, 1996: 1

  Finance Act, 2004: 1

  Finance Act, 2005: 1

  Finance Act, 2009: 1

  Food Safety and Standards Act, 2006: 1

  Foreigners Laws Amendment Act, 1957: 1

  Forward Contracts Regulation Amendment Act, 1960: 1

  Goa, Daman and Diu Town and Country Planning Act, 1974: 1

  Government Savings Banks Act, 1873: 1

  Government Savings Banks Act, 1873: 1

  Government Savings Certificates Act, 1959: 1

  Government of Union Territories Amendment Act, 1971: 1

  Great Eastern Hotel Acquisition of Undertaking Act, 1980: 1

  Great Eastern Hotel Taking over of Management Act, 1975: 1

  Gujarat Electricity Industry Reorganisation and Regulation Act, 2003: 1

  Gujarat Electricity Supply Undertakings Acquisition Act, 1969: 1

  Gujarat Prevention of Antisocial Activities Act, 1985: 1

  Gujarat Prevention of Antisocial Activities Act, 1985: 1

  Gujarat Town Planning and Urban Development Act, 1976: 1

  Guru Gobind Singh Indraprastha University Act, 1998: 1

  Guruvayoor Devaswom Act, 1978: 1

  Haryana Board of School Education Act, 1969: 1

  Haryana Children Act, 1974: 1

  Haryana Cooperative Societies Act, 1984: 1

  Haryana Development and Regulation of Urban Areas Act, 1975: 1

  Haryana Electricity Reform Act, 1997: 1

  Haryana General Sales Tax Amendment and Validation Act, 1983: 1

  Haryana General Sales Tax Amendment and Validation Act, 1990: 1

  Haryana Municipal Corporation Act, 1994: 1

  Haryana Rural Development Act, 1986: 1

  Haryana Urban Development Authority Act, 1977: 1

  Himachal Pradesh Legislative Assembly Constitution and Proceedings Validation Act, 1958: 1

  Himachal Pradesh Tenancy and Land Reforms Act, 1972: 1

  Hindu Succession Andhra Pradesh Amendment Act, 1986: 1

  Hyderabad Abolition of Inams Act, 1954: 1

  Immoral Traffic Prevention Act, 1956: 1

  Income Tax Amendment Act, 1986: 1

  Indian Bills of Lading Act, 1856: 1

  Indian Coinage Amendment Act, 1955: 1

  Indian Divorce Amendment Act, 2001: 1

  Indian Electricity Haryana Amendment Act, 1998: 1

  Indian Electricity Uttar Pradesh Amendment and Validation Act, 1975: 1

  Indian Forest West Bengal Amendment Act, 1988: 1

  Indian Medical Council Amendment Act, 2010: 1

  Indian Nursing Council Act, 1947: 1

  Indian Nursing Council Act, 1947: 1

  Indian Power Alcohol Act, 1948: 1

  Indian Railway Board Act, 1905: 1

  Indian Short Titles Act, 1897: 1

  Indian Statistical Institute Act, 1959: 1

  Indian Tramways Act, 1886: 1

  Indian Tramways Act, 1902: 1

  Indian Veterinary Council Act, 1984: 1

  Indira Gandhi National Open University Act, 1985: 1

  Indira Gandhi National Tribal University Act, 2007: 1

  Indira Kala Sangit Vishwavidyalaya Act, 1956: 1

  Industrial Disputes Amendment and Temporary Provisions Act, 1951: 1

  Industrial Disputes Amendment Act, 1956: 1

  Industrial Disputes Amendment Act, 1971: 1

  Industrial Disputes Banking Companies Decision Act, 1955: 1

  Industrial Disputes Banking Companies Decision Amendment Act, 1957: 1

  Industrial Disputes Banking and Insurance Companies Act, 1949: 1

  Industrial Employment Standing Order Act, 1946: 1

  Industries Development and Regulation Amendment Act, 1953: 1

  Inland Waterways Authority of India Act, 1985: 1

  Institutes of Technology Act, 1961: 1

  InterState Migrant Workmen Regulation of Employment and Conditions of Service Act, 1979: 1

  International Airports Authority Act, 1971: 1

  Jaipur Matmi Rules Validation Act, 1961: 1

  Jammu and Kashmir Extension of Laws Act, 1956: 1

  Jammu and Kashmir General Sales Tax Act, 1962: 1

  Juvenile Justice Care and Protection of Children Amendment Act, 2006: 1

  Kannan Devan Hills Resumption of Lands Act, 1971: 1

  Kannan Devan Hills Resumption of Lands Act, 1971: 1

  Karnataka Cooperative Societies Amendment Act, 1976: 1

  Karnataka Cooperative Societies Second Amendment Act, 1997: 1

  Karnataka Contract Carriages Acquisition Act, 1976: 1

  Karnataka Debt Relief Act, 1976: 1

  Karnataka Education Act, 1983: 1

  Karnataka Educational Institutions Prohibition of Capitation Fee Act, 1984: 1

  Karnataka Electricity Reform Act, 1999: 1

  Karnataka Forest Amendment Act, 1980: 1

  Karnataka Government Parks Preservation Act, 1975: 1

  Karnataka Habitual Offenders Act, 1961: 1

  Karnataka Improvement Boards Act, 1976: 1

  Karnataka Land Reforms Amendment Act, 1973: 1

  Karnataka Land Reforms Amendment Act, 1973: 1

  Karnataka Land Reforms Amendment Act, 1978: 1

  Karnataka Motor Vehicles Taxation Second Amendment Act, 1979: 1

  Karnataka Municipal Corporations Act, 1976: 1

  Karnataka Panchayat Raj Act, 1993: 1

  Karnataka Preservation of Trees Act, 1976: 1

  Karnataka Private Educational Institutions Discipline and Control Act, 1975: 1

  Karnataka Professional Educational Institutions Regulation of Admission and Fixation of Fee Special Provisions Act, 2011: 1

  Karnataka Prohibition of Beggary Act, 1975: 1

  Karnataka Sales Tax Amendment Act, 1973: 1

  Karnataka Sales Tax Amendment Act, 1978: 1

  Karnataka Scheduled Castes and Scheduled Tribes Prohibition of Transfer of Certain Lands Act, 1978: 1

  Karnataka Shops and Commercial Establishments Act, 1961: 1

  Karnataka Slum Areas Improvement and Clearance Act, 1973: 1

